short_name,name,sector,last,change_per,change_price,recommendation,vol,mrkt_cap
SYBX,SYNLOGIC INC,Health Technology,4.47,11.19402985,0.45,0.46666667,348448,155706192.0
NVFY,NOVA LIFESTYLE INC,Consumer Durables,3.78,11.17647059,0.38,0.4,606638,21003759.0
WBAI,500.COM LTD SPONS ADR REP 10 SHS CL 'A',Technology Services,24.9,11.16071429,2.5,0.45454545,926906,1071020000.0
TELL,TELLURIAN INC,Energy Minerals,2.7,11.11111111,0.27,-0.02424242,50010230,1043784900.0000002
EOSE,EOS ENERGY ENTERPRISES INC,Finance,21.91,10.93670886,2.16,0.43006993,2793481,1134966483.0
CDEV,CENTENNIAL RESOURCE DEVELOPMENT INC,Energy Minerals,4.52,10.78431373,0.44,0.08787879,23161297,1261645000.0
RAAS,CLOOPEN GROUP HLDG LTD EACH ADS REP 2 CL A ORD SHS,Communications,22.74,10.76473453,2.21,0.41666667,2171277,3411460000.0
LEGH,LEGACY HOUSING CORPORATION,Consumer Durables,18.09,10.64220183,1.74,0.46666667,154703,437825034.0
URGN,UROGEN PHARMA LTD,Health Technology,19.97,10.63711911,1.92,-0.26969697,813387,444787816.0
HOOK,HOOKIPA PHARMA INC,Health Technology,14.7,10.60948081,1.41,0.42121212,1081586,437903180.4
NAPA,THE DUCKHORN PORTFOLIO INC,Distribution Services,19.0,10.59371362,1.82,,2489440,2185893000.0
CKX,CKX LANDS INC,Miscellaneous,12.96,10.58020478,1.24,0.51212121,4266,25168320.0
STEP,STEPSTONE GROUP INC,Finance,33.82,10.55900621,3.23,0.27622378,5257271,3206688314.42
AEVA,AEVA TECHNOLOGIES INC,Finance,14.57,10.46247157,1.38,,1938851,3062089480.0
SGC,SUPERIOR GROUP OF COMPANIES INC,Consumer Non-Durables,28.2,10.37181996,2.65,0.51212121,270970,438321060.0
ELYS,ELYS GAME TECHNOLOGY CORP,Consumer Services,6.29,10.35087719,0.59,0.51212121,1273025,105043628.99999999
HOME,AT HOME GROUP INC,Retail Trade,33.08,10.30343448,3.09,0.46666667,3338120,2143815560.0
BOXL,BOXLIGHT CORPORATION,Commercial Services,2.82,10.15625,0.26,0.51212121,4295726,146524944.0
OCDX,ORTHO CLINICAL DIAGNOSTCS HLDGS PLC,Health Technology,18.63,10.10638298,1.71,0.55555556,16835462,4373262090.0
SENS,SENSEONICS HOLDINGS INC,Electronic Technology,3.28,10.06711409,0.3,0.26363636,44596704,1239456240.0
MLPO,CREDIT SUISSE NASSAU S&P MLP INDEX ETN 04/12/34,Miscellaneous,9.6399,10.04452055,0.8799,0.35454545,146,
LC,LENDING CLUB CORP,Finance,21.72,10.03039514,1.98,0.35454545,5699481,2032844304.0
RESN,RESONANT INC,Electronic Technology,4.84,10.0,0.44,-0.18181818,2107910,290978380.0
ZYNE,ZYNERBA PHARMACEUTICALS INC,Health Technology,5.31,9.9378882,0.48,0.49090909,2135313,219045464.99999997
POWW,AMMO INC,Electronic Technology,6.31,9.93031359,0.57,-0.04545455,5838436,438546893.0
WPG,WASHINGTON PRIME GROUP INC,Finance,3.1,9.92907801,0.28,-0.33333333,2330801,64560900.00000001
ZYME,ZYMEWORKS INC,Health Technology,35.0,9.89010989,3.15,-0.24545455,424861,1614756500.0
PRPH,PROPHASE LABS INC,Health Technology,8.12,9.8782138,0.73,0.06666667,333816,123052915.99999999
FARM,FARMER BROS CO,Consumer Non-Durables,11.02,9.87038883,0.99,0.51212121,1480903,195838624.0
SJT,SAN JUAN BASIN ROYALITY TRUST,Miscellaneous,4.23,9.87012987,0.38,0.42121212,253598,197156000.0
WHLR,WHEELER REAL ESTATE INVT TR INC,Finance,3.35,9.83606557,0.3,0.30909091,540144,32517600.0
PROG,PROGENITY INC,Health Services,4.82,9.79498861,0.43,-0.27622378,1721400,290413676.0
SI,SILVERGATE CAPITAL CORPORATION,Finance,160.36,9.70036941,14.18,0.44545455,3634568,3005162436.0000005
REI,RING ENERGY INC,Energy Minerals,2.83,9.68992248,0.25,0.42121212,5009566,231122138.0
PD,PAGERDUTY INC,Technology Services,41.18,9.63791267,3.62,-0.11212121,2420446,3373992704.0
IGMS,IGM BIOSCIENCES INC,Health Technology,91.1,9.58739324,7.97,0.33333333,495467,2908076435.5
NOG,NORTHERN OIL & GAS INC (NEV),Energy Minerals,13.76,9.55414013,1.2,0.30909091,5018223,831395712.0
SUNW,SUNWORKS INC,Producer Manufacturing,14.46,9.54545455,1.26,0.28787879,4434711,344658438.0
AMPY,AMPLIFY ENERGY CORP,Energy Minerals,3.1,9.54063604,0.27,0.02121212,1202141,117623920.0
